match_id,season,round_label,round_number,date,home_team,home_team_score,away_team,away_team_score,is_final,venue,source_url,source,home_team_short,away_team_short
2025001,2025,Round 1,1,2025-02-13,Leigh,1,Wigan,0,False,The Brick Community Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Wigan
2025002,2025,Round 1,1,2025-02-14,Hull FC,24,Catalans,4,False,Stade Gilbert Brutus,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull FC,Catalans
2025003,2025,Round 1,1,2025-02-14,Hull KR,19,Castleford,18,False,Sewell Group Craven Park,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Castleford
2025004,2025,Round 1,1,2025-02-15,St Helens,82,Salford,0,False,Totally Wicked Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Salford
2025005,2025,Round 1,1,2025-02-15,Wakefield Trinity,14,Leeds,12,False,AMT Headingley Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wakefield,Leeds
2025006,2025,Round 1,1,2025-02-16,Warrington,20,Huddersfield,12,False,John Smith’s Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Huddersfield
2025007,2025,Round 2,2,2025-02-20,Hull KR,14,Wakefield Trinity,12,False,DIY Kitchens Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Wakefield
2025008,2025,Round 2,2,2025-02-21,Warrington,18,Catalans,12,False,Halliwell Jones Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Catalans
2025009,2025,Round 2,2,2025-02-21,Wigan,46,Hull FC,4,False,MKM Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Hull FC
2025010,2025,Round 2,2,2025-02-22,Leeds,32,Salford,6,False,Salford Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Salford
2025011,2025,Round 2,2,2025-02-22,St Helens,46,Castleford,6,False,"The Jungle, Castleford",https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Castleford
2025012,2025,Round 2,2,2025-02-23,Leigh,24,Huddersfield,10,False,Leigh Sports Village Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Huddersfield
